ID,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Distance,Fuel,Brakes,Speed,Range,RPM,Accelerator pedal position,Engine fuel rate,Days,Trips,TripperDay,DistanceperTrip,TripsinDay,DistanceinDay,TripsinNight,DistanceinNight,TripsinWeekdays,DistanceinWeekdays,TripsinWeekends,DistanceinWeekends,Trips<15m,15m<Trips<30m,30m<Trips<1h,1h<Trips<2h,Trips>2h
14807407127,0,12,80,125,2012.4,398.17,1996,39.93138577,1.203576184,866.8272659,18.47274906,7.706292135,6,32,5.333333333,62.8875,2,48.3,30,1964.1,19,1242.4,13,770,8,5,4,7,8
14807407160,1,15,44,124,3464,619.86,1090,54.85491178,2.507722081,884.5948975,22.23462089,9.092519075,6,62,10.33333333,55.87096774,36,1588.4,26,1875.6,41,1868.2,21,1595.8,47,3,1,0,11
14807407305,0,1,62,125,697.2,149.76,1391,16.40816327,0.17735841,697.1136897,7.718403468,3.945114683,6,38,6.333333333,18.34736842,18,130.4,20,566.8,24,382.7,14,314.5,13,5,7,8,5
14807407323,0,0,13,47,842.8,152.42,925,21.10060189,0.53579513,642.1217756,8.533018057,4.322130267,6,79,13.16666667,10.66835443,23,16.9,56,825.9,46,559.6,33,283.2,48,15,4,12,0
14807407597,10,12,53,255,2053.8,525.68,1510,38.38870575,6.564967867,904.4253261,20.17583489,9.409373656,6,43,7.166666667,47.7627907,38,689.5,5,1364.3,29,1133,14,920.8,25,8,0,2,8
14807407641,0,0,15,36,1776,313.78,735,40.83911987,2.868276415,834.106133,17.59705297,7.812166468,6,30,5,59.2,13,16.6,17,1759.4,22,626.7,8,1149.3,11,10,3,0,6
14807408146,0,0,28,80,1565.7,246.54,1178,26.53882512,0.850472226,740.7164078,7.496070223,4.363801485,6,42,7,37.27857143,10,754.7,32,811,26,825.4,16,740.3,9,10,7,5,11
14807408282,0,0,172,80,389.5,45.54,456,13.69780116,0.751188248,878.9092664,7.871891892,1.514449807,5,41,8.2,9.5,37,180.6,4,208.9,30,254.3,11,135.2,15,8,5,11,2
14807408523,0,1,24,46,1628.9,274.55,379,20.35810509,2.004828104,394.7224269,8.578114843,3.728531961,6,26,4.333333333,62.65,9,9.8,17,1619.1,20,1079,6,549.9,16,1,3,0,6
14807409234,2,0,67,68,2444.5,785.77,0,38.10242277,9.672339504,913.0845404,24.376362,12.62654147,6,68,11.33333333,35.94852941,44,902.3,24,1542.2,60,1435.4,8,1009.1,44,5,5,4,10
14807409306,0,0,34,146,4826.6,716.67,1039,55.26198875,3.566418563,970.3668605,12.63800172,8.56040614,6,40,6.666666667,120.665,16,2387.5,24,2439.1,22,2528.9,18,2297.7,23,2,2,0,13
14807409316,1,0,13,30,2085.9,292.91,855,46.2523436,1.743751039,883.479625,17.30185575,6.946345896,6,47,7.833333333,44.38085106,10,5.3,37,2080.6,30,1139.8,17,946.1,32,2,2,0,11
14807412304,13,60,189,196,4035.1,1261.14,709,56.89127001,8.73772879,908.4571556,32.16532912,17.31230975,6,28,4.666666667,144.1107143,18,1146.1,10,2889,19,3011.6,9,1023.5,8,9,3,1,7
14807412367,6,25,109,367,5793.7,1430.54,918,62.64803742,9.000018177,912.8848564,17.13831158,15.41556571,5,45,9,128.7488889,18,3504.8,27,2288.9,28,3484.3,17,2309.4,18,3,1,6,17
14807414034,0,0,78,168,693.1,114.53,1016,29.60776713,1.992674449,954.6727162,17.73760196,4.098215742,3,10,3.333333333,69.31,7,356.3,3,336.8,10,693.1,0,0,0,0,2,4,4
14807415293,0,38,111,563,4343.6,1564.99,5008,43.72976236,7.963891188,941.3946988,22.03896717,14.74487013,6,49,8.166666667,88.64489796,43,2876.6,6,1467,28,2479.4,21,1864.2,22,7,3,3,14
14807415834,231,80,69,138,2386.5,1019.1,577,54.74444869,11.64577378,1046.29467,25.44372339,19.08288798,6,16,2.666666667,149.15625,8,647.4,8,1739.1,10,1444.4,6,942.1,1,1,5,1,8
14807416731,100,137,146,168,3288,908.88,2066,55.46629213,4.566842467,968.8047454,24.72603395,14.20887521,6,39,6.5,84.30769231,26,112.6,13,3175.4,29,2191.6,10,1096.4,23,6,0,1,9
